"","Isolate","Accession_number","Collection_time","Country","Nextstrain_clade","Source"
"636","hCoV-19/Guinea/CERFIG-19921/2021","EPI_ISL_4205868",2021.253,"Coted-Ivoire","21D(Eta)","GISAID"
"637","hCoV-19/Mali/MAL0139/2021","EPI_ISL_4274001",2021.212,"Guinea","21D(Eta)","GISAID"
"638","hCoV-19/Benin/312964/2021","EPI_ISL_2932577",2021.579,"Mali","21D(Eta)","GISAID"
"639","hCoV-19/Panama/513440-GMI/2020","EPI_ISL_13105145",2021.166,"Benin","21D(Eta)","GISAID"
"640","hCoV-19/Slovenia/16308/2020","EPI_ISL_2644013",2020.775,"Panama","20A","GISAID"
"641","hCoV-19/Slovenia/145509/2020","EPI_ISL_14725032",2020.316,"Slovenia","20A","GISAID"
"642","hCoV-19/BosniaandHerzegovina/ChVir7352/2020","EPI_ISL_462458",2020.802,"Slovenia","20A","GISAID"
"643","hCoV-19/Algeria/17808/2020","EPI_ISL_15928069",2020.22,"BosniaandHerzegovina","20A","GISAID"
"644","hCoV-19/Suriname/SR-53/2020","EPI_ISL_518802",2020.373,"Algeria","20A","GISAID"
"645","hCoV-19/Suriname/SR-84/2020","EPI_ISL_2502533",2020.54,"Suriname","20A","GISAID"
"646","hCoV-19/Suriname/SR-14/2020","EPI_ISL_517625",2020.608,"Suriname","20A","GISAID"
"647","hCoV-19/Peru/LIM-INS-090/2020","EPI_ISL_536489",2020.482,"Suriname","20A","GISAID"
"648","hCoV-19/Peru/LIM-UPCH-0084/2020","EPI_ISL_540962",2020.507,"Peru","20A","GISAID"
"649","hCoV-19/Ecuador/USFQ-539/2020","EPI_ISL_697800",2020.46,"Peru","20A","GISAID"
"650","hCoV-19/Ecuador/USFQ-402/2020","EPI_ISL_660532",2020.914,"Ecuador","20A","GISAID"
"651","hCoV-19/Ecuador/USFQ-113/2020","EPI_ISL_486848",2020.753,"Ecuador","20A","GISAID"
"652","hCoV-19/Maldives/MAV01979/2020","EPI_ISL_3275385",2020.496,"Ecuador","20A","GISAID"
"653","hCoV-19/Maldives/MAV04305/2020","EPI_ISL_3275389",2020.444,"Maldives","20A","GISAID"
"654","hCoV-19/Maldives/MAV04600/2020","EPI_ISL_3275391",2020.589,"Maldives","20A","GISAID"
"655","hCoV-19/Maldives/MAV01162/2020","EPI_ISL_3275381",2020.597,"Maldives","20A","GISAID"
"656","hCoV-19/Maldives/MAV02905/2020","EPI_ISL_3275386",2020.381,"Maldives","20A","GISAID"
"657","hCoV-19/Maldives/MAV09481/2020","EPI_ISL_3275392",2020.54,"Maldives","20A","GISAID"
"658","hCoV-19/NorthMacedonia/7238/2020","EPI_ISL_677716",2020.709,"Maldives","20A","GISAID"
"659","hCoV-19/Uganda/064/2021","EPI_ISL_13860511",2020.523,"NorthMacedonia","20A","GISAID"
"660","hCoV-19/CostaRica/INC-0194/2020","EPI_ISL_914801",2021.388,"Uganda","20A","GISAID"
"661","hCoV-19/Panama/GMI-PA392814/2020","EPI_ISL_1225483",2020.952,"CostaRica","20A","GISAID"
"662","hCoV-19/Kenya/MAL-13177/2020","EPI_ISL_2779492",2020.474,"Panama","20A","GISAID"
"663","hCoV-19/SriLanka/CA99139/2021","EPI_ISL_1233126",2020.695,"Kenya","20A","GISAID"
"664","hCoV-19/SriLanka/C31262/2020","EPI_ISL_668452",2021.127,"SriLanka","20A","GISAID"
"665","hCoV-19/SriLanka/CMC75184/2021","EPI_ISL_1717053",2020.857,"SriLanka","20A","GISAID"
"666","hCoV-19/Poland/Mazowieckie_MWB_187/2021","EPI_ISL_1084636",2021.059,"SriLanka","20A","GISAID"
"667","hCoV-19/Switzerland/SO-42487007/2020","EPI_ISL_831014",2021.053,"Poland","20A","GISAID"
"668","hCoV-19/Malaysia/MGI_HPUPM-S20620/2021","EPI_ISL_3162202",2020.788,"Switzerland","20A","GISAID"
"669","hCoV-19/Guinea/Conakry_IPG16824/2020","EPI_ISL_2245974",2021.141,"Malaysia","20A","GISAID"
"670","hCoV-19/Guinea/Conakry_IPG13991/2020","EPI_ISL_2245853",2020.971,"Guinea","20A","GISAID"
"671","hCoV-19/Guinea/Conakry_IPG13458/2020","EPI_ISL_2245970",2020.821,"Guinea","20A","GISAID"
"672","hCoV-19/USA/KY-CDC-LC0004027/2021","EPI_ISL_886930",2020.799,"Guinea","20A","GISAID"
"673","hCoV-19/Mexico/TAM-InDRE_389/2020","EPI_ISL_1054982",2021.001,"USA","20A","GISAID"
"674","hCoV-19/Mexico/AGU-InDRE-55/2020","EPI_ISL_576258",2020.572,"Mexico","20A","GISAID"
"675","hCoV-19/Mexico/SON-InDRE_135/2020","EPI_ISL_913938",2020.455,"Mexico","20A","GISAID"
"676","hCoV-19/USA/MT-RML-8/2020","EPI_ISL_591055",2020.898,"Mexico","20A","GISAID"
"677","hCoV-19/Mexico/TAB-InDRE_380/2020","EPI_ISL_1054980",2020.548,"USA","20A","GISAID"
"678","hCoV-19/USA/HI-H200429/2020","EPI_ISL_752973",2020.572,"Mexico","20A","GISAID"
"679","hCoV-19/USA/HI-H200753/2020","EPI_ISL_967538",2020.747,"USA","20A","GISAID"
"680","hCoV-19/Brazil/SP-01/2020","EPI_ISL_412964",2020.955,"USA","20A","GISAID"
"681","hCoV-19/Morocco/refstage1/2020","EPI_ISL_476559",2020.152,"Brazil","20A","GISAID"
"682","hCoV-19/Greece/127_HPI/2020","EPI_ISL_430469",2020.157,"Morocco","20A","GISAID"
"683","hCoV-19/Ecuador/USFQ-020/2020","EPI_ISL_471267",2020.163,"Greece","20A","GISAID"
"684","hCoV-19/Georgia/MM2020477/2020","EPI_ISL_2896260",2020.294,"Ecuador","20A","GISAID"
"685","hCoV-19/Moldova/ChVir7777/2020","EPI_ISL_523966",2020.19,"Georgia","20A","GISAID"
"686","hCoV-19/Moldova/ChVir7768/2020","EPI_ISL_523960",2020.195,"Moldova","20A","GISAID"
"687","hCoV-19/Gambia/NPHL_9869/2020","EPI_ISL_1216121",2020.198,"Moldova","20A","GISAID"
"688","hCoV-19/Estonia/Cov1662/2020","EPI_ISL_2642883",2020.687,"Gambia","20A","GISAID"
"689","hCoV-19/SaintMartin/IPG-7349/2020","EPI_ISL_613449",2020.802,"Estonia","20A","GISAID"
"690","hCoV-19/Guatemala/GUA-LNS-50913/2020","EPI_ISL_2827013",2020.239,"SaintMartin","20A","GISAID"
"691","hCoV-19/Guatemala/GUA-LNS-3493/2021","EPI_ISL_2826931",2020.84,"Guatemala","20A","GISAID"
"692","hCoV-19/Gambia/NPHL_7377/2020","EPI_ISL_1216100",2021.037,"Guatemala","20A","GISAID"
"693","hCoV-19/Guatemala/GUA-LNS-57996/2020","EPI_ISL_2827865",2020.646,"Gambia","20A","GISAID"
"694","hCoV-19/Paraguay/33623/2020","EPI_ISL_1340753",2020.952,"Guatemala","20A","GISAID"
"695","hCoV-19/Mozambique/KRISP-MZ158971/2020","EPI_ISL_636976",2020.769,"Paraguay","20A","GISAID"
"696","hCoV-19/Australia/NSW527/2020","EPI_ISL_455066",2020.531,"Mozambique","20A","GISAID"
"697","hCoV-19/SouthAfrica/Tygerberg_254/2020","EPI_ISL_3068042",2020.332,"Australia","20A","GISAID"
"698","hCoV-19/Australia/SA0212/2020","EPI_ISL_467989",2020.348,"SouthAfrica","20A","GISAID"
"699","hCoV-19/Uganda/UG048/2020","EPI_ISL_737966",2020.343,"Australia","20A","GISAID"
"700","hCoV-19/CzechRepublic/NRL-6847-2/2020","EPI_ISL_584073",2020.346,"Uganda","20A","GISAID"
"701","hCoV-19/Australia/VICMelbourne476/2021","EPI_ISL_7271157",2020.357,"CzechRepublic","20A","GISAID"
"702","hCoV-19/Tunisia/61581/2020","EPI_ISL_10863120",2021.237,"Australia","20A","GISAID"
"703","hCoV-19/Mexico/PUE-InDRE_129/2020","EPI_ISL_913932",2020.895,"Tunisia","20A","GISAID"
"704","hCoV-19/Curacao/CW-RIVM-21728/2020","EPI_ISL_1014555",2020.805,"Mexico","20A","GISAID"
"705","hCoV-19/Myanmar/DSMRC013/2021","EPI_ISL_2593764",2020.985,"Curacao","20A","GISAID"
"706","hCoV-19/Seychelles/SS460/2021","EPI_ISL_4880538",2021.404,"Myanmar","21B(Kappa)","GISAID"
"707","hCoV-19/Australia/VIC19589/2021","EPI_ISL_5289084",2021.3,"Seychelles","21B(Kappa)","GISAID"
"708","hCoV-19/Vietnam/NHTD-OUCRU1452/2021","EPI_ISL_6773814",2021.404,"Australia","21B(Kappa)","GISAID"
"709","hCoV-19/Qatar/QA.QU_19.3.E5/2021","EPI_ISL_2842891",2021.3,"Vietnam","21A(Delta)","GISAID"
"710","hCoV-19/USA/CA-CCPHL-143/2021","EPI_ISL_3718320",2021.308,"Qatar","21A(Delta)","GISAID"
"711","hCoV-19/Algeria/79040/2021","EPI_ISL_12156762",2021.632,"USA","21A(Delta)","GISAID"
"712","hCoV-19/Taiwan/16163/2021","EPI_ISL_16544813",2021.7,"Algeria","21A(Delta)","GISAID"
"713","hCoV-19/Bonaire/BQ-RIVM-45057/2021","EPI_ISL_3137129",2021.684,"Taiwan","21A(Delta)","GISAID"
"714","hCoV-19/Kenya/SS4147/2021","EPI_ISL_7834680",2021.516,"Bonaire","21A(Delta)","GISAID"
"715","hCoV-19/SouthSudan/UG713/2021","EPI_ISL_3546350",2021.862,"Kenya","21A(Delta)","GISAID"
"716","hCoV-19/Kenya/RUS-COV-2767/2021","EPI_ISL_3031432",2021.385,"SouthSudan","21A(Delta)","GISAID"
"717","hCoV-19/Luxembourg/LNS1282170/2021","EPI_ISL_3145006",2021.412,"Kenya","21A(Delta)","GISAID"
"718","hCoV-19/SierraLeone/CPHRL-092/2021","EPI_ISL_4755975",2021.396,"Luxembourg","21A(Delta)","GISAID"
"719","hCoV-19/Bangladesh/IEDCR-OIS-0003/2021","EPI_ISL_2180455",2021.347,"SierraLeone","21A(Delta)","GISAID"
"720","hCoV-19/Togo/12111/2021","EPI_ISL_12521410",2021.33,"Bangladesh","21A(Delta)","GISAID"
"721","hCoV-19/Sudan/SS1668/2021","EPI_ISL_14620317",2021.695,"Togo","21A(Delta)","GISAID"
"722","hCoV-19/Sudan/SS1597/2021","EPI_ISL_14620341",2021.497,"Sudan","21A(Delta)","GISAID"
"723","hCoV-19/HongKong/VM21021486/2021","EPI_ISL_2931343",2021.497,"Sudan","21A(Delta)","GISAID"
"724","hCoV-19/Romania/Arges_458905/2021","EPI_ISL_3911445",2021.3,"HongKong","21A(Delta)","GISAID"
"725","hCoV-19/Kosovo/ChVir25780_24/2021","EPI_ISL_2833665",2021.434,"Romania","21A(Delta)","GISAID"
"726","hCoV-19/Laos/LOMWRU-0788/2021","EPI_ISL_16017360",2021.327,"Kosovo","21A(Delta)","GISAID"
"727","hCoV-19/Cambodia/01-2107057422/2021","EPI_ISL_3031482",2021.612,"Laos","21A(Delta)","GISAID"
"728","hCoV-19/Cambodia/755525/2021","EPI_ISL_3983657",2021.508,"Cambodia","21A(Delta)","GISAID"
"729","hCoV-19/Cambodia/871669/2021","EPI_ISL_6512069",2021.659,"Cambodia","21A(Delta)","GISAID"
"730","hCoV-19/USA/WA-CDC-UW21102259608/2021","EPI_ISL_5900156",2021.859,"Cambodia","21A(Delta)","GISAID"
"731","hCoV-19/Thailand/DMSc-03996/2021","EPI_ISL_6036569",2021.807,"USA","21A(Delta)","GISAID"
"732","hCoV-19/Chad/TCH-38/2021","EPI_ISL_9274873",2021.779,"Thailand","21A(Delta)","GISAID"
"733","hCoV-19/SaintBarthelemy/IPP24125/2021","EPI_ISL_4171703",2021.623,"Chad","21I(Delta)","GISAID"
"734","hCoV-19/India/RJ-INSACOG-AIIMSJ-119310/2021","EPI_ISL_14805834",2021.626,"SaintBarthelemy","21I(Delta)","GISAID"
"735","hCoV-19/Malawi/MLW-00258/2021","EPI_ISL_6963177",2021.333,"India","21I(Delta)","GISAID"
"736","hCoV-19/Canada/PE-NML-89403/2021","EPI_ISL_15184986",2021.632,"Malawi","21I(Delta)","GISAID"
"737","hCoV-19/SierraLeone/CPHRL-107/2021","EPI_ISL_4755984",2021.415,"Canada","21I(Delta)","GISAID"
"738","hCoV-19/Norway/OUS-11044/2021","EPI_ISL_4125086",2021.511,"SierraLeone","21I(Delta)","GISAID"
"739","hCoV-19/SouthKorea/KDCA18547/2021","EPI_ISL_7692563",2021.536,"Norway","21I(Delta)","GISAID"
"740","hCoV-19/SouthKorea/KDCA7280/2021","EPI_ISL_3369090",2021.903,"SouthKorea","21I(Delta)","GISAID"
"741","hCoV-19/Kuwait/JAH3032511/2021","EPI_ISL_2833738",2021.544,"SouthKorea","21I(Delta)","GISAID"
"742","hCoV-19/Kuwait/KCCC-1289-3560557/2021","EPI_ISL_2984234",2021.393,"Kuwait","21I(Delta)","GISAID"
"743","hCoV-19/Luxembourg/LNS3964898/2021","EPI_ISL_5391744",2021.508,"Kuwait","21I(Delta)","GISAID"
"744","hCoV-19/Benin/NMIMR-LCA5526/2021","EPI_ISL_7139850",2021.705,"Luxembourg","21I(Delta)","GISAID"
"745","hCoV-19/Indonesia/SU-NIHRD-WGS10036/2021","EPI_ISL_4254858",2021.612,"Benin","21I(Delta)","GISAID"
"746","hCoV-19/Australia/NT-RDH-03/2021","EPI_ISL_7141554",2021.497,"Indonesia","21I(Delta)","GISAID"
"747","hCoV-19/Canada/NS-NML-156988/2021","EPI_ISL_4508420",2021.719,"Australia","21I(Delta)","GISAID"
"748","hCoV-19/Canada/NL-PHML-216866/2021","EPI_ISL_5596563",2021.626,"Canada","21I(Delta)","GISAID"
"749","hCoV-19/USA/OH-CDC-LC0204751/2021","EPI_ISL_4153324",2021.716,"Canada","21I(Delta)","GISAID"
"750","hCoV-19/Gambia/36175/2021","EPI_ISL_2820697",2021.621,"USA","21I(Delta)","GISAID"
"751","hCoV-19/Canada/NB-CHUDGLD-1506-MM513/2021","EPI_ISL_15229149",2021.374,"Gambia","21I(Delta)","GISAID"
"752","hCoV-19/Malaysia/C19UMB388/2021","EPI_ISL_5159372",2021.453,"Canada","21I(Delta)","GISAID"
"753","hCoV-19/Malaysia/TIDREC-NSC639/2021","EPI_ISL_10969105",2021.711,"Malaysia","21I(Delta)","GISAID"
"754","hCoV-19/Malaysia/TIDREC-NSC286/2021","EPI_ISL_8090709",2021.958,"Malaysia","21I(Delta)","GISAID"
"755","hCoV-19/Maldives/MAV73603/2021","EPI_ISL_3540068",2021.777,"Malaysia","21I(Delta)","GISAID"
"756","hCoV-19/Liberia/LIB-0094/2021","EPI_ISL_3547691",2021.489,"Maldives","21I(Delta)","GISAID"
"757","hCoV-19/Canada/UN-146405/2021","EPI_ISL_12388799",2021.522,"Liberia","21I(Delta)","GISAID"
"758","hCoV-19/Liberia/LIB-0028/2021","EPI_ISL_3547673",2021.574,"Canada","21I(Delta)","GISAID"
"759","hCoV-19/Vietnam/NHTD-OUCRU0801/2021","EPI_ISL_4504006",2021.429,"Liberia","21I(Delta)","GISAID"
"760","hCoV-19/Vietnam/PIHCM_0190/2021","EPI_ISL_17391325",2021.459,"Vietnam","21I(Delta)","GISAID"
"761","hCoV-19/Vietnam/DN2021_11/2021","EPI_ISL_9647494",2021.826,"Vietnam","21I(Delta)","GISAID"
"762","hCoV-19/Vietnam/HCMC_b02_08.08/2021","EPI_ISL_5857066",2021.853,"Vietnam","21I(Delta)","GISAID"
"763","hCoV-19/Vietnam/HCMC_b01_76.13/2021","EPI_ISL_6123875",2021.662,"Vietnam","21I(Delta)","GISAID"
"764","hCoV-19/Philippines/PH-RITM-624/2021","EPI_ISL_9177545",2021.664,"Vietnam","21I(Delta)","GISAID"
"765","hCoV-19/Philippines/PH-RITM-903/2021","EPI_ISL_9744351",2021.777,"Philippines","21I(Delta)","GISAID"
"766","hCoV-19/SriLanka/aicbu61/2021","EPI_ISL_2984982",2021.84,"Philippines","21I(Delta)","GISAID"
"767","hCoV-19/SriLanka/aicbu1838/2021","EPI_ISL_5494783",2021.516,"SriLanka","21I(Delta)","GISAID"
"768","hCoV-19/SriLanka/aicbu848/2021","EPI_ISL_3534250",2021.763,"SriLanka","21I(Delta)","GISAID"
"769","hCoV-19/SriLanka/aicbu3044/2021","EPI_ISL_8281537",2021.588,"SriLanka","21I(Delta)","GISAID"
"770","hCoV-19/Andorra/AND-242_212461287301_COV-GC/2021","EPI_ISL_4949312",2021.958,"SriLanka","21I(Delta)","GISAID"
"771","hCoV-19/SaintMartin/IDF-IPP48412/2021","EPI_ISL_8143275",2021.645,"Andorra","21I(Delta)","GISAID"
"772","hCoV-19/Luxembourg/LNS2921331/2021","EPI_ISL_3145829",2021.897,"SaintMartin","21I(Delta)","GISAID"
"773","hCoV-19/Aruba/AW-RIVM-55678/2021","EPI_ISL_4076211",2021.533,"Luxembourg","21I(Delta)","GISAID"
"774","hCoV-19/Curacao/CW-RIVM-51114/2021","EPI_ISL_3732398",2021.642,"Aruba","21I(Delta)","GISAID"
"775","hCoV-19/Curacao/CW-RIVM-66242/2021","EPI_ISL_5968507",2021.585,"Curacao","21I(Delta)","GISAID"
"776","hCoV-19/Bonaire/BQ-RIVM-53870/2021","EPI_ISL_3918600",2021.777,"Curacao","21I(Delta)","GISAID"
"777","hCoV-19/Bonaire/BQ-RIVM-65092/2021","EPI_ISL_5821903",2021.626,"Bonaire","21I(Delta)","GISAID"
"778","hCoV-19/Bonaire/BQ-RIVM-73657/2021","EPI_ISL_7784423",2021.779,"Bonaire","21I(Delta)","GISAID"
"779","hCoV-19/CotedIvoire/COV-BKE8322-bc29/2021","EPI_ISL_8178294",2021.916,"Bonaire","21I(Delta)","GISAID"
"780","hCoV-19/Bahrain/920965743/2021","EPI_ISL_2932632",2021.779,"CotedIvoire","21I(Delta)","GISAID"
"781","hCoV-19/Qatar/QA.QU.18.28.C7/2021","EPI_ISL_7167011",2021.366,"Bahrain","21I(Delta)","GISAID"
"782","hCoV-19/Mexico/GUA_IBT_IMSS_2252/2021","EPI_ISL_3347866",2021.755,"Qatar","21I(Delta)","GISAID"
"783","hCoV-19/Mexico/SON_InDRE_FB692_E26913349261_S10514/2021","EPI_ISL_9093044",2021.547,"Mexico","21I(Delta)","GISAID"
"784","hCoV-19/Mexico/VER_INER_IMSS_2243/2021","EPI_ISL_4299666",2021.993,"Mexico","21I(Delta)","GISAID"
"785","hCoV-19/Mexico/SN-SEARCH-112803/2021","EPI_ISL_6257731",2021.651,"Mexico","21I(Delta)","GISAID"
"786","hCoV-19/Mexico/NAY_UAN-LANIIA_S1717-1220/2021","EPI_ISL_8988627",2021.785,"Mexico","21I(Delta)","GISAID"
"787","hCoV-19/Mexico/PUE_InDRE_FB51045_S9781/2021","EPI_ISL_7716941",2021.968,"Mexico","21I(Delta)","GISAID"
"788","hCoV-19/HongKong/CM21000437/2021","EPI_ISL_3219440",2021.84,"Mexico","21I(Delta)","GISAID"
"789","hCoV-19/Djibouti/NAMRU3_SOTFEA_46/2021","EPI_ISL_6693798",2021.544,"HongKong","21I(Delta)","GISAID"
"790","hCoV-19/Mexico/CAM_IBT_IMSS_4532/2021","EPI_ISL_7970166",2021.596,"Djibouti","21I(Delta)","GISAID"
"791","hCoV-19/Bolivia/SAN-CABANA-PE-UPCH-2257/2021","EPI_ISL_8800559",2021.919,"Mexico","21I(Delta)","GISAID"
"792","hCoV-19/Mexico/CHH-SEARCH-108394/2021","EPI_ISL_4411680",2021.577,"Bolivia","21I(Delta)","GISAID"
"793","hCoV-19/Ukraine/60-64245/2021","EPI_ISL_5884463",2021.552,"Mexico","21I(Delta)","GISAID"
"794","hCoV-19/Turkey/HSGM-D9628/2021","EPI_ISL_3595878",2021.708,"Ukraine","21A(Delta)","GISAID"
"795","hCoV-19/India/MH-IISER-Pune-IP02634/2021","EPI_ISL_7824898",2021.626,"Turkey","21A(Delta)","GISAID"
"796","hCoV-19/Nepal/S-10/2021","EPI_ISL_2479957",2021.453,"India","21J(Delta)","GISAID"
"797","hCoV-19/Bangladesh/BSMMU_Laila_114/2021","EPI_ISL_11912967",2021.327,"Nepal","21J(Delta)","GISAID"
"798","hCoV-19/UnitedArabEmirates/BTC-8277/2021","EPI_ISL_16815548",2021.514,"Bangladesh","21J(Delta)","GISAID"
"799","hCoV-19/NewZealand/21MV0660/2021","EPI_ISL_3477101",2021.714,"UnitedArabEmirates","21J(Delta)","GISAID"
"800","hCoV-19/Bhutan/RCDC0019-SV210157/2021","EPI_ISL_16984367",2021.599,"NewZealand","21J(Delta)","GISAID"
"801","hCoV-19/Finland/THL-202118329/2021","EPI_ISL_2557192",2021.297,"Bhutan","21J(Delta)","GISAID"
"802","hCoV-19/Egypt/CCHE57357_Wave_4_129/2021","EPI_ISL_6011800",2021.382,"Finland","21J(Delta)","GISAID"
"803","hCoV-19/Egypt/CCHE57357_Wave_4_083/2021","EPI_ISL_6011754",2021.79,"Egypt","21J(Delta)","GISAID"
"804","hCoV-19/Cyprus/CING_52_1012_Ni/2021","EPI_ISL_13773623",2021.807,"Egypt","21J(Delta)","GISAID"
"805","hCoV-19/UnitedArabEmirates/BTC-5453/2021","EPI_ISL_16814974",2021.941,"Cyprus","21J(Delta)","GISAID"
"806","hCoV-19/Qatar/QA-QU-18-30-G1/2021","EPI_ISL_7660074",2021.407,"UnitedArabEmirates","21J(Delta)","GISAID"
"807","hCoV-19/India/PB-NCDC-4509203/2021","EPI_ISL_4460791",2021.903,"Qatar","21J(Delta)","GISAID"
"808","hCoV-19/Nepal/S-28/2021","EPI_ISL_2479985",2021.467,"India","21J(Delta)","GISAID"
"809","hCoV-19/DRC/16353/2021","EPI_ISL_2135845",2021.278,"Nepal","21J(Delta)","GISAID"
"810","hCoV-19/Georgia/Tb-SNGS1498/2021","EPI_ISL_5808048",2021.336,"DRC","21J(Delta)","GISAID"
"811","hCoV-19/Guadeloupe/IPP28106/2021","EPI_ISL_4741052",2021.747,"Georgia","21J(Delta)","GISAID"
"812","hCoV-19/Bahrain/342515971_S336_L001/2021","EPI_ISL_4105105",2021.703,"Guadeloupe","21J(Delta)","GISAID"
"813","hCoV-19/UnitedArabEmirates/BTC-9319/2021","EPI_ISL_16800526",2021.648,"Bahrain","21J(Delta)","GISAID"
"814","hCoV-19/Cameroon/CPC-21v-37297/2021","EPI_ISL_8298670",2021.834,"UnitedArabEmirates","21J(Delta)","GISAID"
"815","hCoV-19/CentralAfricanRepublic/LNBCSP001/2021","EPI_ISL_17423763",2021.538,"Cameroon","21J(Delta)","GISAID"
"816","hCoV-19/Maldives/MAV27512/2021","EPI_ISL_3275169",2021.9,"CentralAfricanRepublic","21J(Delta)","GISAID"
"817","hCoV-19/Nepal/T0012/2021","EPI_ISL_9907745",2021.308,"Maldives","21J(Delta)","GISAID"
"818","hCoV-19/Paraguay/214068/2021","EPI_ISL_4303340",2021.423,"Nepal","21J(Delta)","GISAID"
"819","hCoV-19/Laos/LOMWRU-0768/2021","EPI_ISL_16007542",2021.593,"Paraguay","21J(Delta)","GISAID"
"820","hCoV-19/Laos/LOMWRU-0898/2021","EPI_ISL_16641005",2021.722,"Laos","21J(Delta)","GISAID"
"821","hCoV-19/Peru/JUN-INS-3525/2021","EPI_ISL_3987713",2021.796,"Laos","21J(Delta)","GISAID"
"822","hCoV-19/Peru/LIM-INS-9808/2021","EPI_ISL_6945728",2021.538,"Peru","21J(Delta)","GISAID"
"823","hCoV-19/Peru/APU-INS-8339/2021","EPI_ISL_5935192",2021.859,"Peru","21J(Delta)","GISAID"
"824","hCoV-19/Ethiopia/CERI-KRISP-K024729/2021","EPI_ISL_4474372",2021.777,"Peru","21J(Delta)","GISAID"
"825","hCoV-19/Germany/NW-RKI-I-309602/2021","EPI_ISL_6193971",2021.396,"Ethiopia","21J(Delta)","GISAID"
"826","hCoV-19/USA/WA-PHL-006294/2021","EPI_ISL_6931184",2021.826,"Germany","21J(Delta)","GISAID"
"827","hCoV-19/Paraguay/240648/2021","EPI_ISL_6948430",2021.829,"USA","21J(Delta)","GISAID"
"828","hCoV-19/Curacao/CW-RIVM-46546/2021","EPI_ISL_3257891",2021.675,"Paraguay","21J(Delta)","GISAID"
"829","hCoV-19/Bonaire/BQ-RIVM-71689/2021","EPI_ISL_7469742",2021.536,"Curacao","21J(Delta)","GISAID"
"830","hCoV-19/Curacao/CW-RIVM-60492/2021","EPI_ISL_4839689",2021.895,"Bonaire","21J(Delta)","GISAID"
"831","hCoV-19/Oman/rega-OM-95/2021","EPI_ISL_4062888",2021.697,"Curacao","21J(Delta)","GISAID"
"832","hCoV-19/Oman/rega-OM-166/2021","EPI_ISL_4063004",2021.399,"Oman","21J(Delta)","GISAID"
"833","hCoV-19/Belgium/UZB_54820210901001/2021","EPI_ISL_3962169",2021.467,"Oman","21J(Delta)","GISAID"
"834","hCoV-19/Slovenia/5C-031007-KP/2021","EPI_ISL_3316973",2021.656,"Belgium","21J(Delta)","GISAID"
"835","hCoV-19/Kosovo/un-ChVir25887_14/2021","EPI_ISL_3505794",2021.533,"Slovenia","21J(Delta)","GISAID"
"836","hCoV-19/Azerbaijan/un-ChVir28801/2021","EPI_ISL_15714246",2021.574,"Kosovo","21J(Delta)","GISAID"
"837","hCoV-19/Bahrain/342410205/2021","EPI_ISL_3699243",2021.634,"Azerbaijan","21J(Delta)","GISAID"
"838","hCoV-19/Nigeria/CV3447/2021","EPI_ISL_6002848",2021.571,"Bahrain","21J(Delta)","GISAID"
"839","hCoV-19/Canada/un-NML-260415/2021","EPI_ISL_12686873",2021.692,"Nigeria","21J(Delta)","GISAID"
"840","hCoV-19/Algeria/48915/2021","EPI_ISL_3375627",2021.914,"Canada","21J(Delta)","GISAID"
"841","hCoV-19/Egypt/NRC-1483/2021","EPI_ISL_8267202",2021.473,"Algeria","21J(Delta)","GISAID"
"842","hCoV-19/Maldives/MAV62489/2021","EPI_ISL_3540060",2021.473,"Egypt","21J(Delta)","GISAID"
"843","hCoV-19/Maldives/MAV85697/2021","EPI_ISL_5985370",2021.404,"Maldives","21J(Delta)","GISAID"
"844","hCoV-19/Maldives/MAV73451/2021","EPI_ISL_3540065",2021.777,"Maldives","21J(Delta)","GISAID"
"845","hCoV-19/Maldives/MAV77347/2021","EPI_ISL_3540092",2021.486,"Maldives","21J(Delta)","GISAID"
"846","hCoV-19/Iraq/Child-10/2021","EPI_ISL_12179248",2021.571,"Maldives","21J(Delta)","GISAID"
"847","hCoV-19/Morocco/IPM20361857/2021","EPI_ISL_5511700",2021.511,"Iraq","21J(Delta)","GISAID"
"848","hCoV-19/Turkey/HSGM-GF10527/2021","EPI_ISL_3317481",2021.686,"Morocco","21J(Delta)","GISAID"
"849","hCoV-19/Lebanon/4780/2021","EPI_ISL_13829674",2021.566,"Turkey","21J(Delta)","GISAID"
"850","hCoV-19/Estonia/15694414/2021","EPI_ISL_4895276",2021.508,"Lebanon","21J(Delta)","GISAID"
"851","hCoV-19/Bahrain/21490085977/2021","EPI_ISL_5633059",2021.689,"Estonia","21J(Delta)","GISAID"
"852","hCoV-19/Mexico/COL_INER_IMSS_3362/2021","EPI_ISL_7728928",2021.788,"Bahrain","21J(Delta)","GISAID"
"853","hCoV-19/Mexico/VER-INMEGEN-28-116/2021","EPI_ISL_4512739",2021.862,"Mexico","21J(Delta)","GISAID"
"854","hCoV-19/Panama/GMI-PACH111301/2021","EPI_ISL_11696185",2021.7,"Mexico","21J(Delta)","GISAID"
"855","hCoV-19/USA/KS-KHEL-3180/2021","EPI_ISL_2894543",2021.588,"Panama","21J(Delta)","GISAID"
"856","hCoV-19/USA/AK-PHL13683/2021","EPI_ISL_5094580",2021.508,"USA","21J(Delta)","GISAID"
"857","hCoV-19/USA/LA-CDC-LC0149729/2021","EPI_ISL_3517013",2021.695,"USA","21J(Delta)","GISAID"
